id,details,rocket/rocket_name,mission_name,launch_date_utc,launch_success,links/video_link
1,Engine failure at 33 seconds and loss of vehicle,Falcon 1,FalconSat,2006-03-24T22:30:00.000Z,false,https://www.youtube.com/watch?v=0a_00nJ_Y88
2,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",Falcon 1,DemoSat,2007-03-21T01:10:00.000Z,false,https://www.youtube.com/watch?v=Lk4zQ2wP-Nc
3,Residual stage 1 thrust led to collision between stage 1 and stage 2,Falcon 1,Trailblazer,2008-08-03T03:34:00.000Z,false,https://www.youtube.com/watch?v=v0w9p3U8860
4,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",Falcon 1,RatSat,2008-09-28T23:15:00.000Z,true,https://www.youtube.com/watch?v=dLQ2tZEH6G0
5,,Falcon 1,RazakSat,2009-07-13T03:35:00.000Z,true,https://www.youtube.com/watch?v=yTaIDooc8Og
6,,Falcon 9,Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,true,https://www.youtube.com/watch?v=nxSxgBKlYws
7,,Falcon 9,COTS 1,2010-12-08T15:43:00.000Z,true,https://www.youtube.com/watch?v=cdLITgWKe_0
8,"Launch was scrubbed on first attempt, second launch attempt was successful",Falcon 9,COTS 2,2012-05-22T07:44:00.000Z,true,https://www.youtube.com/watch?v=tpQzDbAY7yI
9,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",Falcon 9,CRS-1,2012-10-08T00:35:00.000Z,true,https://www.youtube.com/watch?v=-Vk3hiV_zXU
10,Last launch of the original Falcon 9 v1.0 launch vehicle,Falcon 9,CRS-2,2013-03-01T19:10:00.000Z,true,https://www.youtube.com/watch?v=ik0ElKl5kW4
11,"Commercial mission and first Falcon 9 v1.1 flight, with improved 13-tonne to LEO capacity. Following second-stage separation from the first stage, an attempt was made to perform an ocean touchdown test of the discarded booster vehicle. The test provided good test data on the experiment-its primary objective-but as the booster neared the ocean, aerodynamic forces caused an uncontrollable roll. The center engine, depleted of fuel by centrifugal force, shut down resulting in the impact and destruction of the vehicle.",Falcon 9,CASSIOPE,2013-09-29T16:00:00.000Z,true,https://www.youtube.com/watch?v=uFefasS6bhc
12,First GTO launch for Falcon 9,Falcon 9,SES-8,2013-12-03T22:41:00.000Z,true,https://www.youtube.com/watch?v=aAj5xapImEs
13,"Second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly U.S. military payloads and found that the Thaicom 6 launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff""",Falcon 9,Thaicom 6,2014-01-06T18:06:00.000Z,true,https://www.youtube.com/watch?v=AnSNRzMEmCU
14,"Following second-stage separation, SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster. Following touchdown the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle.",Falcon 9,CRS-3,2014-04-18T19:25:00.000Z,true,https://www.youtube.com/watch?v=Od-lON4bTyQ
15,"Total payload mass was 1,316 kg (2,901 lb) : 6 satellites weighing 172 kg each, plus two 142-kg mass simulators. This was the second Falcon 9 booster equipped with landing legs. Following second-stage separation, SpaceX conducted a controlled-descent test of the first stage, which successfully decelerated from hypersonic velocity in the upper atmosphere, made reentry and landing burns, deployed its legs and touched down on the ocean surface. As with the previous mission, the first stage then tipped over as expected and was not recovered.",Falcon 9,OG-2 Mission 1,2014-07-14T15:15:00.000Z,true,https://www.youtube.com/watch?v=lbHnSu-DLR4
16,,Falcon 9,AsiaSat 8,2014-08-05T08:00:00.000Z,true,https://www.youtube.com/watch?v=essrkMGlw5s
17,,Falcon 9,AsiaSat 6,2014-09-07T05:00:00.000Z,true,https://www.youtube.com/watch?v=39ninsyTRk8
18,,Falcon 9,CRS-4,2014-09-21T05:52:00.000Z,true,https://www.youtube.com/watch?v=7YkCh7uOw1Y
